"Price","Type","Room","Footage","Treatment"
260000,"1",2,60,"0"
239000,"1",2,54,"0"
350000,"1",3,77,"0"
319000,"1",3,77,"0"
380000,"1",3,82,"0"
179000,"1",1.5,47,"0"
499000,"1",4.5,129,"0"
350000,"1",3,83,"0"
697000,"1",4,167,"0"
185000,"1",1.5,35,"0"
219000,"1",2,58,"0"
495000,"1",4.5,111,"0"
490000,"1",4,110,"0"
1590000,"1",3,153,"0"
490000,"1",4.5,137,"0"
337000,"1",3,66,"0"
419000,"1",3,77,"0"
298500,"1",2.5,79,"0"
290000,"1",3,77,"0"
339000,"1",4,70,"0"
199000,"1",1.5,34,"0"
350000,"1",3.5,80,"0"
972000,"1",4,134,"0"
379000,"1",2,57,"0"
595500,"1",3,73,"0"
440500,"1",2,56,"0"
550000,"1",3,86,"0"
595500,"1",3,73,"0"
258000,"1",2.5,60,"0"
449000,"1",4,109,"0"
385000,"1",2,81,"0"
245000,"1",2,52,"0"
178000,"1",2,48,"0"
254900,"1",3,57,"0"
388000,"1",4,87,"0"
289000,"1",4,110,"0"
350000,"1",1,46,"0"
440500,"1",2,56,"0"
225000,"1",2,63,"0"
169000,"1",2.5,49,"0"
749900,"1",4.5,118,"0"
427111,"1",1,46,"0"
386500,"1",4,109,"0"
230000,"1",3,69,"0"
219000,"1",3,57,"0"
360000,"1",2.5,68,"0"
669000,"1",5,144,"0"
743300,"1",4.5,100,"0"
768200,"1",4.5,110,"0"
345000,"1",3,66,"0"
995000,"1",4,132,"0"
782000,"1",4,112,"0"
664000,"1",3,96,"0"
490000,"1",3,70,"0"
715000,"1",4,103,"0"
269000,"1",2,53,"0"
330000,"1",3,89,"0"
210000,"1",1.5,36,"0"
545900,"1",3,74,"0"
362900,"1",1,46,"0"
409900,"1",2,52,"0"
410900,"1",2,52,"0"
571900,"1",3,74,"0"
367900,"1",1,46,"0"
410900,"1",2,52,"0"
409900,"1",2,52,"0"
414900,"1",2,52,"0"
461900,"1",2,59,"0"
371900,"1",1,46,"0"
419900,"1",2,52,"0"
466900,"1",2,59,"0"
376900,"1",1,46,"0"
394900,"1",2,49,"0"
399900,"1",2,49,"0"
472900,"1",2,59,"0"
260000,"1",2,60,"0"
879000,"2",5,135,"0"
960000,"2",6,147,"0"
720000,"2",6,118,"0"
650000,"2",5.5,117,"0"
1090000,"2",12,220,"0"
1060000,"2",10,343,"0"
685000,"2",6,128,"0"
1550000,"2",22,400,"0"
680000,"2",6.5,149,"0"
699000,"2",6,153,"0"
680000,"2",5,124,"0"
1060000,"2",10,343,"0"
810000,"2",5,155,"0"
839800,"2",4,136,"0"
869800,"2",4,135,"0"
789000,"2",4,102,"0"
979000,"2",10,198,"0"
598000,"2",5.5,145,"0"
799000,"2",5,155,"0"
249000,"2",3.5,84,"0"
799900,"2",7,181,"0"
725000,"2",6,152,"0"
1200000,"2",7,281,"0"
779800,"2",4,137,"0"
889000,"2",5,130,"0"
790000,"2",6.5,150,"0"
845000,"2",6,210,"0"
6e+05,"2",8,159,"0"
888000,"2",8,201,"0"
917800,"2",5,154,"0"
449000,"2",5,100,"0"
869898,"2",4,136,"0"
695000,"2",4.5,90,"0"
549000,"2",6,128,"0"
1050000,"2",5,189,"0"
998000,"2",4,200,"0"
740000,"2",5.5,95,"0"
649000,"2",10,205,"0"
580000,"2",5.5,149,"0"
695000,"2",5,126,"0"
445000,"2",6,103,"0"
501000,"2",4,127,"0"
319900,"2",6,155,"0"
259900,"2",5,135,"0"
349900,"2",8,200,"0"
1e+06,"2",7,134,"0"
990000,"2",8,205,"0"
1350000,"2",11,347,"0"
649000,"2",5,112,"0"
649000,"2",6,127,"0"
729000,"2",5,108,"0"
548000,"1",3.5,106,"1"
485000,"1",3,113,"1"
270000,"1",4,101,"1"
169000,"1",3,69,"1"
169000,"1",3,70,"1"
359000,"1",3.5,78,"1"
219000,"1",3,83,"1"
519000,"1",3.5,128,"1"
239000,"1",3.5,75,"1"
320000,"1",3,86,"1"
229000,"1",4,111,"1"
289000,"1",2,109,"1"
239000,"1",3.5,75,"1"
189000,"1",2,54,"1"
249000,"1",3,87,"1"
309000,"1",3,86,"1"
249000,"1",2,65,"1"
239000,"1",3,72,"1"
179000,"1",2,50,"1"
534000,"1",5,126,"1"
245000,"1",2,64,"1"
319000,"1",2,65,"1"
385000,"1",3,90,"1"
295000,"1",3,83,"1"
249000,"1",2,58,"1"
490000,"1",6,205,"1"
350000,"1",4.5,100,"1"
890000,"1",3.5,135,"1"
269950,"1",3,74,"1"
260000,"1",4,71,"1"
2e+05,"1",2.5,64,"1"
285000,"1",3.5,73,"1"
260000,"1",2,78,"1"
259000,"1",3,72,"1"
2e+05,"1",3,62,"1"
468000,"1",5,113,"1"
328000,"1",4,91,"1"
274000,"1",2.5,67,"1"
169000,"1",1,46,"1"
179000,"1",1,25,"1"
243000,"1",3,75,"1"
197000,"1",3,65,"1"
260000,"1",3,79,"1"
589000,"1",4,113,"1"
410000,"1",3.5,110,"1"
410000,"1",4,114,"1"
420000,"1",4,97,"1"
179000,"1",2,48,"1"
325000,"1",2,73,"1"
489000,"1",3.5,90,"1"
169000,"1",2,47,"1"
420000,"1",3,113,"1"
359000,"1",3,100,"1"
395000,"1",4,111,"1"
273000,"1",3,67,"1"
168800,"1",2,47,"1"
315000,"1",4,88,"1"
450000,"1",4,98,"1"
236000,"1",2,63,"1"
325000,"1",4,92,"1"
465000,"1",3,97,"1"
315000,"1",3,90,"1"
245000,"1",3,69,"1"
265000,"1",3,74,"1"
266000,"1",3,69,"1"
650000,"1",4.5,115,"1"
499000,"1",3.5,90,"1"
479000,"1",4.5,109,"1"
530000,"1",4,124,"1"
220000,"1",2.5,54,"1"
317000,"1",3,98,"1"
260000,"1",3,72,"1"
299000,"1",3,79,"1"
169000,"1",1,36,"1"
365000,"1",4,84,"1"
190000,"1",2,49,"1"
365000,"1",4,84,"1"
298000,"1",3.5,96,"1"
212500,"1",2,51,"1"
189000,"1",2,49,"1"
299000,"1",2,71,"1"
595000,"1",4,124,"1"
310000,"1",3,68,"1"
249661,"1",1,50,"1"
375000,"1",4,98,"1"
910000,"1",3.5,126,"1"
280000,"1",3,78,"1"
195000,"1",2,45,"1"
260000,"1",3,72,"1"
310000,"1",3,83,"1"
285000,"1",3.5,94,"1"
250000,"1",3,78,"1"
310000,"1",3,78,"1"
315000,"1",3,65,"1"
930000,"1",3.5,132,"1"
397000,"1",4.5,100,"1"
329000,"2",4,69,"1"
1248000,"2",6,176,"1"
439000,"2",3,140,"1"
773400,"2",6,159,"1"
1060000,"2",6,290,"1"
1199565,"2",6,175,"1"
1230615,"2",5,178,"1"
1217895,"2",5,177,"1"
1221195,"2",5,178,"1"
1210645,"2",5,178,"1"
1237345,"2",6,174,"1"
1220265,"2",6,175,"1"
1226995,"2",6,175,"1"
4e+05,"2",8,201,"1"
419000,"2",5,110,"1"
870000,"2",7,242,"1"
748000,"2",8,189,"1"
749000,"2",8,238,"1"
1290000,"2",6.5,190,"1"
1166320,"2",6,201,"1"
597250,"2",4,124,"1"
499000,"2",5,126,"1"
780000,"2",14,283,"1"
635000,"2",8,260,"1"
870000,"2",9,196,"1"
626380,"2",5,152,"1"
597250,"2",4,124,"1"
490000,"2",6,205,"1"
630000,"2",8,260,"1"
1162000,"2",5.5,193,"1"
1350000,"2",6,211,"1"
897000,"2",9,320,"1"
586000,"2",6,155,"1"
1100000,"2",10,275,"1"
969000,"2",16,371,"1"
540880,"2",4,110,"1"
662950,"2",6,150,"1"
450000,"2",6,159,"1"
750000,"2",13,272,"1"
1350000,"2",11,227,"1"
645000,"2",4.5,118,"1"
599000,"2",4.5,138,"1"
1500000,"2",9,299,"1"
829000,"2",7,220,"1"
1496000,"2",9,274,"1"
645000,"2",9,204,"1"
735000,"2",10,195,"1"
799000,"2",6,160,"1"
749000,"2",14,240,"1"
1050000,"2",16,465,"1"
350000,"2",12,200,"1"
635000,"2",8,260,"1"
830000,"2",7.5,204,"1"
695000,"2",10,251,"1"
795000,"2",4,112,"1"
460000,"2",4,105,"1"
947000,"2",9,256,"1"
3100000,"2",30,880,"1"
920000,"2",4.5,131,"1"
499000,"2",6.5,181,"1"
975000,"2",7,248,"1"
595000,"2",5,129,"1"
650000,"2",4,127,"1"
499000,"2",5,125,"1"
2500000,"2",8,592,"1"
255000,"2",6,128,"1"
780000,"2",4,181,"1"
930000,"2",8,200,"1"
850000,"2",8,210,"1"
849000,"2",9,214,"1"
2500000,"2",10,700,"1"
1300000,"2",18,780,"1"
329000,"2",4,69,"1"
1298000,"2",6.5,176,"1"
